,compound,counter,date_created,negative,neutral,positive,source,text in tweet
179,0.4404,19,2018-03-04 08:05:26,0.0,0.884,0.116,CBS,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…"
178,0.3818,18,2018-03-05 22:16:43,0.0,0.833,0.167,CBS,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s"
177,0.6705,17,2018-03-06 18:10:59,0.0,0.756,0.244,CBS,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg"
176,0.0,16,2018-03-07 17:06:02,0.0,1.0,0.0,CBS,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4"
175,-0.2023,15,2018-03-07 18:39:10,0.23,0.619,0.15,CBS,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…"
174,0.4926,14,2018-03-08 17:03:04,0.0,0.868,0.132,CBS,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy
173,0.8625,13,2018-03-08 18:00:49,0.0,0.664,0.336,CBS,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT
172,0.0,12,2018-03-09 16:02:27,0.0,1.0,0.0,CBS,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW
171,0.8658,11,2018-03-09 18:27:28,0.0,0.553,0.447,CBS,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…"
170,0.4215,10,2018-03-09 21:10:21,0.0,0.823,0.177,CBS,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N"
169,0.1275,9,2018-03-09 22:24:20,0.092,0.795,0.113,CBS,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…"
168,0.4926,8,2018-03-09 22:48:26,0.0,0.883,0.117,CBS,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…
167,0.0,7,2018-03-12 01:20:43,0.0,1.0,0.0,CBS,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…"
166,0.2244,6,2018-03-12 18:13:28,0.0,0.917,0.083,CBS,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is 🔥🔥🔥! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…
165,0.539,5,2018-03-13 14:15:10,0.0,0.821,0.179,CBS,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI"
164,0.3612,4,2018-03-13 18:48:52,0.0,0.857,0.143,CBS,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…"
163,0.6696,3,2018-03-14 19:30:01,0.0,0.781,0.219,CBS,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S"
162,0.6115,2,2018-03-15 14:32:16,0.0,0.734,0.266,CBS,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR
161,0.6514,1,2018-03-15 16:42:41,0.0,0.806,0.194,CBS,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb
160,-0.4939,0,2018-03-15 17:20:26,0.157,0.766,0.077,CBS,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…
159,0.7088,19,2018-03-15 17:54:06,0.0,0.763,0.237,CBS,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions 🗣💬➡️ https://t.co/ie1…"
158,0.6514,18,2018-03-16 16:28:40,0.0,0.822,0.178,CBS,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP
157,0.0,17,2018-03-16 18:15:53,0.0,1.0,0.0,CBS,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…"
156,0.296,16,2018-03-16 22:53:21,0.0,0.896,0.104,CBS,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i
155,0.7096,15,2018-03-17 14:00:03,0.0,0.753,0.247,CBS,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL
154,0.6166,14,2018-03-17 17:42:43,0.0,0.839,0.161,CBS,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog
153,0.0,13,2018-03-17 19:00:02,0.0,1.0,0.0,CBS,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp"
152,0.1867,12,2018-03-18 17:09:53,0.0,0.92,0.08,CBS,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…"
151,0.6514,11,2018-03-18 18:05:43,0.0,0.787,0.213,CBS,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju
150,0.0,10,2018-03-18 23:44:30,0.0,1.0,0.0,CBS,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M
149,0.7845,9,2018-03-19 21:02:26,0.072,0.619,0.309,CBS,"RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ❤️ Get ready to celebrate 45 years of #YR starting in just…"
148,0.0,8,2018-03-20 16:11:00,0.0,1.0,0.0,CBS,"Country superstars @kennychesney, @ladyantebellum, @blakeshelton, and @KeithUrban have just been added to the stell… https://t.co/bJ4If7MacP"
147,0.5562,7,2018-03-20 16:52:42,0.0,0.826,0.174,CBS,RT @ladyantebellum: Ecstatic to announce we'll be performing at the #ACMawards in Las Vegas again this year! https://t.co/Qfhs94j6FR
146,0.0,6,2018-03-20 17:58:43,0.0,1.0,0.0,CBS,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…
145,0.5106,5,2018-03-20 20:00:01,0.0,0.858,0.142,CBS,The legendary @Reba returns to host the 53rd #ACMawards and she’s proving just how comfortable she is behind the mi… https://t.co/XPXcSPRXqC
144,0.0,4,2018-03-21 18:00:01,0.0,1.0,0.0,CBS,Female Vocalist Of The Year nominee @MarenMorris will show her fans how it’s done when she takes the stage to showc… https://t.co/PITjmAoFT8
143,0.636,3,2018-03-22 00:23:38,0.0,0.802,0.198,CBS,Congratulations to all of the @CBSDaytime nominees for the #DaytimeEmmys! See the full list of #DaytimeEmmy nominee… https://t.co/ivJVJWvfsf
142,0.7081,2,2018-03-22 20:52:02,0.066,0.623,0.311,CBS,Save the date! These are season finales you do NOT want to miss. RT if you're excited! https://t.co/UUQoWsPPSh https://t.co/cDl4WmxMtU
141,0.0,1,2018-03-22 22:10:29,0.0,1.0,0.0,CBS,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC
140,0.8997,0,2018-03-23 22:32:48,0.0,0.645,0.355,CBS,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…"
119,0.4939,19,2018-03-23 22:33:04,0.0,0.686,0.314,CBS,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU
139,0.4939,19,2018-03-23 22:33:04,0.0,0.686,0.314,CBS,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU
138,0.6996,18,2018-03-23 22:33:52,0.0,0.806,0.194,CBS,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW
118,0.6996,18,2018-03-23 22:33:52,0.0,0.806,0.194,CBS,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW
137,0.0,17,2018-03-24 20:00:02,0.0,1.0,0.0,CBS,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x"
117,0.0,17,2018-03-24 20:00:02,0.0,1.0,0.0,CBS,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x"
116,0.9451,16,2018-03-24 22:21:23,0.0,0.58,0.42,CBS,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…
136,0.9451,16,2018-03-24 22:21:23,0.0,0.58,0.42,CBS,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…
115,0.7184,15,2018-03-24 22:21:26,0.0,0.667,0.333,CBS,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest"
135,0.7184,15,2018-03-24 22:21:26,0.0,0.667,0.333,CBS,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest"
114,0.0,14,2018-03-24 22:21:34,0.0,1.0,0.0,CBS,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…"
134,0.0,14,2018-03-24 22:21:34,0.0,1.0,0.0,CBS,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…"
113,0.0,13,2018-03-24 22:21:37,0.0,1.0,0.0,CBS,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜
133,0.0,13,2018-03-24 22:21:37,0.0,1.0,0.0,CBS,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜
112,0.7003,12,2018-03-24 22:25:03,0.0,0.791,0.209,CBS,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…"
132,0.7003,12,2018-03-24 22:25:03,0.0,0.791,0.209,CBS,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…"
131,-0.34,11,2018-03-24 22:46:43,0.185,0.7,0.115,CBS,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest
111,-0.34,11,2018-03-24 22:46:43,0.185,0.7,0.115,CBS,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest
130,0.5399,10,2018-03-24 22:46:53,0.0,0.801,0.199,CBS,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P
110,0.5399,10,2018-03-24 22:46:53,0.0,0.801,0.199,CBS,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P
129,0.5319,9,2018-03-25 17:15:25,0.062,0.78,0.157,CBS,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR
109,0.5319,9,2018-03-25 17:15:25,0.062,0.78,0.157,CBS,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR
128,0.0,8,2018-03-25 23:57:34,0.0,1.0,0.0,CBS,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs
108,0.0,8,2018-03-25 23:57:34,0.0,1.0,0.0,CBS,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs
99,0.2263,19,2018-03-26 07:30:10,0.09,0.749,0.161,BBC,"Wishing you could get out of bed just that little bit earlier? 😴

If you need some motivation to set that alarm, he… https://t.co/zsisa2oA4s"
98,0.5819,18,2018-03-26 08:29:04,0.0,0.818,0.182,BBC,"🤔Why do so many celebrities decide to enter politics?

Some have done so more successfully than others...… https://t.co/MkEDpSeLMJ"
97,0.0,17,2018-03-26 09:04:01,0.0,1.0,0.0,BBC,"The kiwi bird's egg is so large, it takes almost ten days to lay! 🐦🥚😳  #DavidAttenboroughsNaturalCuriosities
https://t.co/AkZqK9vzZZ"
96,0.3182,16,2018-03-26 09:33:01,0.0,0.753,0.247,BBC,"😂 @BillBailey is NOT a fan of taramasalata. #Room101 

https://t.co/soAAz27c0C"
95,0.4588,15,2018-03-26 09:35:06,0.0,0.864,0.136,BBC,RT @bbcpress: Sue Perkins will return to host the 2018 #BAFTA TV awards on Sunday 13 May on @BBCOne. https://t.co/pieSWNAGbH
94,-0.128,14,2018-03-26 10:00:07,0.07,0.93,0.0,BBC,"From hot cross bun gin to Creme Egg Yorkshire pudding, this year’s Easter treats are bigger, weirder and more decad… https://t.co/HvDJmgcB5q"
93,-0.5106,13,2018-03-26 11:00:05,0.163,0.837,0.0,BBC,"A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T5YocDauYj"
92,0.4404,12,2018-03-26 11:48:03,0.0,0.828,0.172,BBC,Apple wants to introduce new emojis to better represent people with disabilities. ❤️️ https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm
91,0.0,11,2018-03-26 12:58:02,0.0,1.0,0.0,BBC,"Never let a squirrel nibble your nobble... 🎈🐿😱
https://t.co/cHm9m6At3m"
90,0.0,10,2018-03-26 15:11:57,0.0,1.0,0.0,BBC,"In her role as head of the Commonwealth, the Queen embarked on her first tour of the nations in 1953.

But by 1970… https://t.co/Av61bahNZF"
89,-0.3818,9,2018-03-26 15:45:04,0.161,0.744,0.095,BBC,"Tom Cruise stars in a remake of the 1953 adaptation of HG Wells’s classic novel. 🍿

War of the Worlds | @BBCiPlayer… https://t.co/h19JvTlFSA"
107,0.807,7,2018-03-26 16:05:18,0.0,0.622,0.378,CBS,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj"
127,0.807,7,2018-03-26 16:05:18,0.0,0.622,0.378,CBS,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj"
88,0.5859,8,2018-03-26 16:25:02,0.0,0.787,0.213,BBC,"✈️ Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf"
106,0.7959,6,2018-03-26 16:59:19,0.0,0.786,0.214,CBS,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…
126,0.7959,6,2018-03-26 16:59:19,0.0,0.786,0.214,CBS,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…
87,0.0,7,2018-03-26 17:30:04,0.0,1.0,0.0,BBC,🐶😂 It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg
86,0.7783,6,2018-03-26 18:24:04,0.0,0.688,0.312,BBC,"Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq"
85,-0.6249,5,2018-03-26 19:03:02,0.194,0.806,0.0,BBC,"Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9"
125,0.0,5,2018-03-26 20:42:48,0.0,1.0,0.0,CBS,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…"
105,0.0,5,2018-03-26 20:42:48,0.0,1.0,0.0,CBS,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…"
104,0.508,4,2018-03-26 22:14:25,0.0,0.88,0.12,CBS,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
124,0.508,4,2018-03-26 22:14:25,0.0,0.88,0.12,CBS,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
84,-0.4588,4,2018-03-27 07:00:08,0.124,0.827,0.049,BBC,"The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of… https://t.co/xFtEAjBTXC"
83,0.0,3,2018-03-27 07:30:04,0.0,1.0,0.0,BBC,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn"
82,0.0,2,2018-03-27 08:00:04,0.0,1.0,0.0,BBC,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v"
81,0.5994,1,2018-03-27 09:36:48,0.0,0.843,0.157,BBC,"RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. 🕺🏻 

Show us yours with #sup…"
80,0.0,0,2018-03-27 09:38:59,0.0,1.0,0.0,BBC,"RT @BBCR1: We can't get enough of @george_ezra's Live Lounge 😍

Watch him perform 'Paradise' and cover 'These Days' right here 👉https://t.c…"
79,0.4019,19,2018-03-27 09:39:23,0.0,0.876,0.124,BBC,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi
78,0.0,18,2018-03-27 09:40:22,0.0,1.0,0.0,BBC,"RT @BBCTwo: Now we've got our country back... what actually is it? 🤔

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…"
77,0.0,17,2018-03-27 09:52:08,0.0,1.0,0.0,BBC,"🚀🌎 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

🚨 SPOILER: it's not.  https://t.co/f5oNRItwyq"
76,0.25,16,2018-03-27 11:00:06,0.0,0.875,0.125,BBC,"🎭 @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
👉… https://t.co/pTLXfve0ds"
75,0.0,15,2018-03-27 11:05:06,0.0,1.0,0.0,BBC,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
👉 https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI"
74,0.0,14,2018-03-27 12:00:08,0.0,1.0,0.0,BBC,The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks
73,0.0,13,2018-03-27 13:33:01,0.0,1.0,0.0,BBC,❤️ The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5
72,-0.5994,12,2018-03-27 14:30:37,0.14,0.86,0.0,BBC,"RT @BBCWorld: It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space 👨‍🚀 https://t…"
71,0.0,11,2018-03-27 15:26:23,0.0,1.0,0.0,BBC,"RT @BBCR1: (•_•)
&lt;)   )╯who
 /    \ 

  (•_•)
 \(   (&gt; bit
  /    \

 (•_•)
&lt;)   )╯Beyoncé? 
 /    \ 

https://t.co/7hQd9mcKUY"
70,0.0,10,2018-03-27 15:33:24,0.0,1.0,0.0,BBC,"RT @bbccomedy: Cathy, master of shade. #Mum https://t.co/VjC2ttkaNF"
69,-0.3064,9,2018-03-27 15:36:22,0.134,0.866,0.0,BBC,RT @bbcthree: 12-year-old Keilan has very severe curvature of the spine. He needs surgery ASAP but the 5 hour operation could leave him par…
68,0.0,8,2018-03-27 15:38:26,0.0,1.0,0.0,BBC,"RT @BBCScotland: Meet the master of the radiator harp

@DaftLimmy returns to BBC Scotland on Thursday 5 April. https://t.co/G7mjFEJx6k"
67,0.6114,7,2018-03-27 15:40:40,0.0,0.75,0.25,BBC,RT @BBCTwo: Happy #WorldTheatreDay! *leaves this here and runs away* @SaraPascoe 🎭😂 https://t.co/3XlEb5gr15
66,0.0,6,2018-03-27 16:00:15,0.0,1.0,0.0,BBC,😬 What does Facebook know about you? https://t.co/lG4ffeCG09
123,0.296,3,2018-03-27 17:00:00,0.0,0.901,0.099,CBS,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj
103,0.296,3,2018-03-27 17:00:00,0.0,0.901,0.099,CBS,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj
65,0.0,5,2018-03-27 17:00:07,0.0,1.0,0.0,BBC,"🍜 We've got oodles of noodles with recipes for pad Thai, chow mein, ramen, pho and stir-fries.
👉… https://t.co/JWfrcIhn2X"
64,0.2942,4,2018-03-27 18:00:08,0.0,0.872,0.128,BBC,"🇩🇪😂 Even if you don't speak German, this is worth watching until the end! 
#LiveAtTheApollo https://t.co/J3l8oToRbk"
63,0.0,3,2018-03-27 18:30:07,0.0,1.0,0.0,BBC,"When mother Marie mysteriously leaves the family home, the repercussions are enormous.

#ComeHome | 9pm | @BBCOne |… https://t.co/S4JgnzQlAx"
102,0.3818,2,2018-03-27 21:00:01,0.108,0.68,0.212,CBS,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu
122,0.3818,2,2018-03-27 21:00:01,0.108,0.68,0.212,CBS,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu
62,-0.4588,2,2018-03-28 07:00:02,0.176,0.824,0.0,BBC,"'I made a decision to not be unbelievably busy.'

@Meshel_Laurie on beating busyness with Buddhism. https://t.co/7ynSgadRyq"
61,-0.25,1,2018-03-28 07:30:05,0.192,0.692,0.115,BBC,"😤 Feeling moody? 
Your gut bacteria might be to blame...
👉 https://t.co/2oPWKjf4D2 https://t.co/Xr5MwczfGR"
60,-0.7351,0,2018-03-28 08:00:02,0.256,0.744,0.0,BBC,"❤️ After seeing her brother's struggles with depression, Luli's on a mission to break the stigma in the black commu… https://t.co/kl1ak4Gu6w"
59,0.0,19,2018-03-28 09:14:19,0.0,1.0,0.0,BBC,"RT @bbcarts: Andrew Scott, as Hamlet, performs the opening lines of #Shakespeare's most famous soliloquy. Watch the full production at 9pm,…"
58,0.0,18,2018-03-28 09:53:41,0.0,1.0,0.0,BBC,🛁🐤 Are your bathroom toys in-fact DEADLY? 😱 https://t.co/YrtMOzTvrb
